source_frame_idx,valid,rf_kpe_all_m,rf_kpe_targeted_m,rf_kpe_untracked_m,bone_direction_error_rad,bend_plane_error_rad,root_translation_error_m,root_translation_common_scale_error_m,root_translation_native_scale_error_m,root_translation_scale_invariant_error_m,effective_root_xy_scale,root_scale_bias_fraction,root_yaw_error_rad,joint_velocity_rms_rad_s,joint_acceleration_rms_rad_s2,joint_jerk_rms_rad_s3,pose_jump_rms_m,left_foot_speed_m_s,right_foot_speed_m_s,left_source_stance,right_source_stance,left_foot_skating,right_foot_skating,foot_skating,ground_penetration_depth_m,ground_penetration_artifact,joint_limit_violation_rad,joint_limit_artifact,invalid_artifact,self_contact_count_diagnostic,artifact,artifact_causes,solve_time_s,rf_kpe_torso_m,rf_kpe_head_m,rf_kpe_left_shoulder_m,rf_kpe_right_shoulder_m,rf_kpe_left_elbow_m,rf_kpe_right_elbow_m,rf_kpe_left_wrist_m,rf_kpe_right_wrist_m,rf_kpe_left_hip_m,rf_kpe_right_hip_m,rf_kpe_left_knee_m,rf_kpe_right_knee_m,rf_kpe_left_ankle_m,rf_kpe_right_ankle_m,rf_kpe_left_toe_m,rf_kpe_right_toe_m
0,True,0.12811013928580833,0.12709570307111695,0.12844828469070543,0.13735098951808633,0.487661562722824,0.0,0.0,0.0,0.0,0.8750192170272284,0.1792123103832859,0.04935555543894154,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.017750533996149898,0.19011098073624536,0.11646126246196395,0.1018512598040666,0.09549824838771136,0.10158093949727881,0.08880039654496961,0.1332968099925141,0.1274645570893671,0.14024745160136387,0.13894340654689863,0.12115024041122079,0.12015704997300071,0.1243548726348704,0.12326657256771627,0.15730853219541316,0.16926964812833273
1,True,0.1278566555001863,0.12648839645473114,0.12831274184867134,0.1419914085517695,0.5114050124843719,0.00017462994842369582,0.00017462994842369582,0.00018011392627999563,0.0001801149173185998,0.8750192170272284,0.1792123103832859,0.032820290360771054,0.3881828648771442,0.0,0.0,0.0012395163069562406,0.003549008979552954,0.002163526152769764,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00312286100233905,0.19034270359942598,0.11670846594190917,0.10161234490190788,0.09648783146188625,0.09812155931414308,0.0921464714757335,0.1303941818214411,0.12925891795934955,0.13989739976097657,0.13850451870849514,0.1206725086872706,0.11935358528043233,0.12361295495674816,0.12268753108138572,0.15841711905946704,0.1674883939924085
2,True,0.12763651269305962,0.1260887499705211,0.12815243360057246,0.14463558149330522,0.5498691897071005,0.00030753581527648716,0.00030753581527648716,0.0003144367125878375,0.0003144389736950085,0.8750192170272284,0.1792123103832859,0.024616715810987122,0.22588838630120434,5.868929105223419,0.0,0.0011260570564487463,0.001751448346232657,0.0018653598271574498,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0031543509976472706,0.19050698544372197,0.11672880879350911,0.10127694863471115,0.09691516914665037,0.0963491858616201,0.09354180330515321,0.12897363482322552,0.1299379790482778,0.13966416059990525,0.13823857143800214,0.12031598526099675,0.11887561126869794,0.12310902735038579,0.12233435866019532,0.15887975731038845,0.1665362161435132
3,True,0.1275131993531781,0.12587962062194397,0.12805772559692277,0.14600753174143122,0.6255520954106673,0.0003916160951580483,0.0003916160951580483,0.00039459483947005506,0.0003945983548492361,0.8750192170272284,0.1792123103832859,0.020750782744420215,0.15213286019905914,3.1848711234099962,113.43752012730995,0.0009221828298544452,0.0009741697198389827,0.0013306614926863124,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0031037349835969508,0.19060909934211753,0.11668392343373671,0.10110604172576704,0.09711330115405153,0.09556006957108845,0.09417074234607103,0.12839006843174688,0.13016994907855067,0.13952770945460446,0.13808934667636566,0.12010690776586853,0.11862345175862507,0.12282000069325048,0.12213846428422785,0.1590519777728726,0.16605013616190448
4,True,0.12742768003519744,0.12574999372198709,0.1279869088062676,0.14666148737004156,0.7655092802395462,0.00044708758901493696,0.00044708758901493696,0.00043968286416985216,0.00043968794452687855,0.8750192170272284,0.1792123103832859,0.018737092045793213,0.12383906435260773,1.9622810303200389,53.71439433051535,0.0008089027366418934,0.0008754779948556637,0.0005349415337587453,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0031445419881492853,0.19067312171699533,0.1166123273566676,0.10099741359054398,0.0971614928698306,0.09518544815096579,0.0943531738295649,0.12814398051881598,0.13015254793389924,0.1394502917496865,0.13800653001545118,0.11999557631850721,0.11850311544196253,0.12265914382243114,0.122044302612802,0.15912055000453562,0.16578386463049988
5,True,0.12737266122110535,0.12569783236515822,0.12793093750642107,0.14700757711745993,0.8792870113302605,0.000490578597134515,0.000490578597134515,0.0004628307631531754,0.0004628374114045688,0.8750192170272284,0.1792123103832859,0.017466276480546217,0.10173258891513069,1.4280850269541951,40.35409343935882,0.0007160401835249764,0.00019684493752856043,0.0004314296422880931,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0031506640079896897,0.19071422832867677,0.11652246116425075,0.1009129695365002,0.09715211747428532,0.09499863295617414,0.09432747090259508,0.12808209901466983,0.13012718984294136,0.13940656014000677,0.1379619665344026,0.11994271727467037,0.11845356101360954,0.12257015075422234,0.12201188984879931,0.1591591320300282,0.165619432721853
6,True,0.12735918590666662,0.12573520895206042,0.127900511558202,0.1472895179428253,0.8267860064885539,0.0005274540150465611,0.0005274540150465611,0.0004706118071461151,0.00047061976161421584,0.8750192170272284,0.1792123103832859,0.016616863751401922,0.07211786964725271,1.7556365508948073,38.07996297918016,0.0006315627268709093,9.720513607700963e-05,0.00041471229386098526,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0031743189902044833,0.19073917049657538,0.11647017204062195,0.10085560650582338,0.0971448029295738,0.0949394109013659,0.09426839524964112,0.12812893811674636,0.13026973861339447,0.13938301841164513,0.1379405293002191,0.11992289444958208,0.11844194712319744,0.12252580786964967,0.1220163512084512,0.1591839094708545,0.16551628181932437
7,True,0.1273738586045369,0.12578904598375923,0.12790212947812943,0.1474604410078812,0.8196108941447854,0.0005612238576685255,0.0005612238576685255,0.00047061306269844175,0.00047062211581301935,0.8750192170272284,0.1792123103832859,0.016125234659763565,0.040161705177184245,1.421096798988065,50.23918111106726,0.0005322008852126378,0.00011346178269918224,0.00040472913379898377,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0031168909918051213,0.1907509642046185,0.1164722536218069,0.1008370591026897,0.0971776104890615,0.09498776064629388,0.09428605542577854,0.12818869956009324,0.13042394499385176,0.13936806541408664,0.1379355062829156,0.1199158648213433,0.11845104150895126,0.12250672702524305,0.12203681235584883,0.1591875728400609,0.16545579937994662
8,True,0.12740078672118638,0.1258361475941406,0.12792233309686832,0.14752602709779408,0.8320001528417548,0.0005977799374292911,0.0005977799374292911,0.00046828912709176494,0.00046829922923765667,0.8750192170272284,0.1792123103832859,0.015939298104153066,0.03915961263077046,1.2136075868713887,28.200803006581335,0.0004802667015357078,9.354239961626592e-05,0.0006815469772024964,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0031501319899689406,0.1907549425531772,0.11651913238867723,0.10084632252064571,0.09722265527830558,0.09510424013616317,0.09435166087695608,0.12826481663731054,0.13051988451402413,0.13935608361858343,0.13793930737158477,0.11991247884888577,0.11847399796557896,0.12249987968726446,0.12206000953796328,0.15916605604110332,0.16542111956275857
9,True,0.12744355931247756,0.1259316381918054,0.12794753301936826,0.14768302349525067,0.8564296043039542,0.0006345696448517175,0.0006345696448517175,0.00046322887636522463,0.00046324085370569437,0.8750192170272284,0.1792123103832859,0.016111746470942823,0.04275726005213204,0.5854295251876055,31.38615483493742,0.0004309112150937965,0.00010662019312958366,0.00019594181689686774,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0031366269977297634,0.1907582038540828,0.11656759206831106,0.10084968261049457,0.0972738695720779,0.09525524399261301,0.09440363931991293,0.12839219721358572,0.13074268203361078,0.13934757441944673,0.13794640976972825,0.11991408572806937,0.11851312824718371,0.12250589923925873,0.12208577428076643,0.15911869167131276,0.16542227497918627
