source_frame_idx,valid,rf_kpe_all_m,rf_kpe_targeted_m,rf_kpe_untracked_m,bone_direction_error_rad,bend_plane_error_rad,root_translation_error_m,root_translation_common_scale_error_m,root_translation_native_scale_error_m,root_translation_scale_invariant_error_m,effective_root_xy_scale,root_scale_bias_fraction,root_yaw_error_rad,joint_velocity_rms_rad_s,joint_acceleration_rms_rad_s2,joint_jerk_rms_rad_s3,pose_jump_rms_m,left_foot_speed_m_s,right_foot_speed_m_s,left_source_stance,right_source_stance,left_foot_skating,right_foot_skating,foot_skating,ground_penetration_depth_m,ground_penetration_artifact,joint_limit_violation_rad,joint_limit_artifact,invalid_artifact,self_contact_count_diagnostic,artifact,artifact_causes,solve_time_s,rf_kpe_torso_m,rf_kpe_head_m,rf_kpe_left_shoulder_m,rf_kpe_right_shoulder_m,rf_kpe_left_elbow_m,rf_kpe_right_elbow_m,rf_kpe_left_wrist_m,rf_kpe_right_wrist_m,rf_kpe_left_hip_m,rf_kpe_right_hip_m,rf_kpe_left_knee_m,rf_kpe_right_knee_m,rf_kpe_left_ankle_m,rf_kpe_right_ankle_m,rf_kpe_left_toe_m,rf_kpe_right_toe_m
0,True,0.13155479641609333,0.13387581301494017,0.13078112421647775,0.1301921465964619,0.314917828369095,0.0,0.0,0.0,0.0,0.7511247566841113,0.012246979814607206,0.022771282035788598,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.6944898010115139,0.1893575234679808,0.12330669001264055,0.09605839303746831,0.08469409593131631,0.13688767921610454,0.0910950317323815,0.1428834371596716,0.14337871926015033,0.1439039942424408,0.1389105339207535,0.12381196816458272,0.11817198531215793,0.12737410322597795,0.12186699241396079,0.16115482424043476,0.1620207713194712
1,True,0.12404150433989972,0.11614227325745986,0.12667458136737966,0.08761759076545568,0.254606282603901,0.010147114712577439,0.010147114712577439,0.010147214363060524,0.010147295099363386,0.7511247566841113,0.012246979814607206,0.0068954315218423545,2.0656335843678453,0.0,0.0,0.016697416725373927,0.006855221812131781,0.3178248900975708,True,True,False,True,True,0.0002814823078707059,False,0.0,False,False,0,True,right-skating,0.31973168801050633,0.18947913873914746,0.11985983145225812,0.09084517228027071,0.08901614600550585,0.10697201730821443,0.07525978915562762,0.10908828665839852,0.10967123944603185,0.14282726913256388,0.13918497730461168,0.12228146520959468,0.11844706012622701,0.12491561760620336,0.12089394931920572,0.16365735305556928,0.1622647566389653
2,True,0.12245794192858936,0.11270324368825779,0.12570950800869987,0.08661339678265842,0.21973084989285155,0.012445814168258544,0.012445814168258544,0.012445928278425262,0.012446021133704202,0.7511247566841113,0.012246979814607206,0.014756060379786051,0.900734591081549,40.433751952820984,0.0,0.004786969814492524,0.07390277097738122,0.09789773162274451,True,True,True,True,True,0.00028491948587635457,False,0.0,False,False,0,True,left-skating+right-skating,0.19519677700009197,0.18969427668721514,0.11898584079764744,0.09042446891903934,0.09063114362449756,0.09875363875937093,0.07477011438137232,0.10299349772178261,0.1043617465036117,0.14206362747810253,0.13902441745141939,0.12112099359805528,0.11850739243706836,0.12330192969392692,0.12015580083370993,0.16333992126553923,0.16119826070507104
3,True,0.12181526910177186,0.11156663389825949,0.12523148083627597,0.08919429824027343,0.1955000929679721,0.012913056774185994,0.012913056774185994,0.012912836871973808,0.012912660187002777,0.7511247566841113,0.012246979814607206,0.015430967203452052,0.6144579161213006,11.833846116499947,903.8300444265644,0.002499491960779591,0.02688559952017409,0.07674991516161282,True,True,True,True,True,0.00019827830844606174,False,0.0,False,False,0,True,left-skating+right-skating,0.14600368301034905,0.1899622230227959,0.11828788200238433,0.09125013487556857,0.09144589249775804,0.09571445494536586,0.0765111386460798,0.10098908618821016,0.10345025042899175,0.14144413140353773,0.13871175579932157,0.12030954326580469,0.11830653495655681,0.12213208663479759,0.11969511234103847,0.16124502196986892,0.15958905665026943
4,True,0.1215081994555979,0.11115573941923731,0.1249590194677181,0.09093692547611637,0.17753799310644008,0.013302220784707974,0.013302220784707974,0.01330106057324191,0.013300124066709116,0.7511247566841113,0.012246979814607206,0.014063372265119554,0.5076529181241588,5.320729741864366,208.68954005788981,0.0017791431410754987,0.022735567907749058,0.03387529080957682,True,True,True,True,True,0.00011385313230778508,False,0.0,False,False,0,True,left-skating+right-skating,0.1471043739875313,0.19026857187988971,0.11776720378506647,0.09241880028667702,0.0922140007447345,0.09459868025840847,0.07866278896566137,0.10018907390892856,0.10382268080284561,0.1409088588255185,0.13831759419494669,0.11965238395461343,0.11797442822465959,0.12125887801712597,0.11935232494804911,0.15889425529193157,0.15783066720051006
5,True,0.12134067157088352,0.1109743219780267,0.12479612143516912,0.0925083506565091,0.16379698923150446,0.013859783565032266,0.013859783565032266,0.013856992262595314,0.013854737051506983,0.7511247566841113,0.012246979814607206,0.012311718390654258,0.45397346565134405,2.8644667129913963,83.09094420156484,0.0015852794356646877,0.02357032400499959,0.0118385611065848,True,True,True,True,True,0.0,False,0.0,False,False,0,True,left-skating+right-skating,0.14696065202588215,0.19060428297611676,0.11747045748724144,0.09375266816699293,0.09305894119415815,0.09438903059468684,0.08063424635182741,0.10002212059573373,0.10430564162854127,0.14042787702635195,0.13787331187195478,0.11903753014947567,0.11754363236852886,0.12058260578617866,0.11898691990165312,0.15671602615985852,0.156045452874836
6,True,0.12121411496146703,0.1107820763272206,0.1246914611728825,0.09401393567714186,0.15298029143635836,0.014711242022446452,0.014711242022446452,0.014706456701074745,0.014702588790805497,0.7511247566841113,0.012246979814607206,0.010736451313214879,0.4182336302271308,1.804497868197379,39.92787855644517,0.001426604318936638,0.007419859879238698,0.008651779921036854,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.1464727800048422,0.19095819480989282,0.11742139793970532,0.09510902235914138,0.09405301267922368,0.09457480141671104,0.08225784223257887,0.10013957342738056,0.10441969686504537,0.13995015968901095,0.13743970015603466,0.11842992002236821,0.11707052806426883,0.11993897347755435,0.11863006153890217,0.15459328201081235,0.15443967269484205
7,True,0.12115855443457309,0.11065695935402178,0.12465908612809018,0.09531333368898748,0.1434530850318921,0.01569288560441338,0.01569288560441338,0.015685956452168064,0.01568035411151702,0.7511247566841113,0.012246979814607206,0.00936581919023416,0.3840295688370157,1.323866938957716,24.263506740576776,0.0013186958041711265,0.006827948689871294,0.0025062115032052717,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.14406312702340074,0.19131671550036855,0.11760428845639477,0.09642813346708978,0.09513514092896139,0.09494872701594907,0.0839450886233676,0.10041835907328393,0.10462431153231039,0.1395058847440589,0.1370049058694256,0.11783935978415842,0.11656571577105308,0.119360662791041,0.11822450401945177,0.15271304603639677,0.15290202733985833
8,True,0.12122040938503428,0.1107605342029847,0.12470703444571747,0.09639812292481136,0.13429062196221875,0.01661570656368539,0.01661570656368539,0.016606371408924674,0.016598822073555796,0.7511247566841113,0.012246979814607206,0.008216451082258214,0.3477274436515835,1.3199321043514467,20.806868828822058,0.00130825614279525,0.004048084730218418,0.006521243727678085,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.14382600999670103,0.1916709585673577,0.11797287826396428,0.09767935236411253,0.09622705553702046,0.09547549677256072,0.08595423356385418,0.1009584648995532,0.10544066758492508,0.1390879368287023,0.13658992518999594,0.11726523316879428,0.11605342590861886,0.11882450109429162,0.11781850323316895,0.15101608513173445,0.15149183205189412
9,True,0.12129426323171667,0.11083970223706642,0.1247791168966001,0.09734183250835667,0.12618944976719831,0.017426906687835652,0.017426906687835652,0.017415111342612418,0.017405571170056474,0.7511247566841113,0.012246979814607206,0.00725765184609739,0.3116270810452245,1.1753611061133131,18.64255080416852,0.0012132135221356165,0.008130551686302907,0.005421921638857097,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.1455181360070128,0.1920137363205105,0.11845414774688438,0.09882820872917952,0.0973047800348926,0.09602177560817145,0.08772842854977392,0.101543408543254,0.10607636166887902,0.13870061923392465,0.13620821769789607,0.11672882348759878,0.11555075988420573,0.11830751555276244,0.11743152318337023,0.14950345639802878,0.15030644906813448
