source_frame_idx,valid,rf_kpe_all_m,rf_kpe_targeted_m,rf_kpe_untracked_m,bone_direction_error_rad,bend_plane_error_rad,root_translation_error_m,root_translation_common_scale_error_m,root_translation_native_scale_error_m,root_translation_scale_invariant_error_m,effective_root_xy_scale,root_scale_bias_fraction,root_yaw_error_rad,joint_velocity_rms_rad_s,joint_acceleration_rms_rad_s2,joint_jerk_rms_rad_s3,pose_jump_rms_m,left_foot_speed_m_s,right_foot_speed_m_s,left_source_stance,right_source_stance,left_foot_skating,right_foot_skating,foot_skating,ground_penetration_depth_m,ground_penetration_artifact,joint_limit_violation_rad,joint_limit_artifact,invalid_artifact,self_contact_count_diagnostic,artifact,artifact_causes,solve_time_s,rf_kpe_torso_m,rf_kpe_head_m,rf_kpe_left_shoulder_m,rf_kpe_right_shoulder_m,rf_kpe_left_elbow_m,rf_kpe_right_elbow_m,rf_kpe_left_wrist_m,rf_kpe_right_wrist_m,rf_kpe_left_hip_m,rf_kpe_right_hip_m,rf_kpe_left_knee_m,rf_kpe_right_knee_m,rf_kpe_left_ankle_m,rf_kpe_right_ankle_m,rf_kpe_left_toe_m,rf_kpe_right_toe_m
0,True,0.10572718232310548,0.01692887273957721,0.13532661885094824,0.43765689498571525,0.581061867713973,0.0,0.0,0.0,0.0,0.7420440478554367,9.438707614606301e-06,0.027716482881075866,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.014319268986582756,0.19248190270764562,0.1294461756650476,0.10963026070143762,0.11358623112966941,0.07095830395539829,0.07418114443527053,0.03538738626277174,0.026271318412833,0.12597170908058167,0.14942367455840033,0.16779564232294866,0.20377366977330819,0.003103859236419796,0.0029529270462843107,0.14429957411945968,0.1423711377622112
1,True,0.10578345341108655,0.01679865971873244,0.13544505130853793,0.43778071123336115,0.5574840070038642,1.0902021021168554e-06,1.0902021021168554e-06,1.0902021021168554e-06,1.0892970345885872e-06,0.7420440478554367,9.438707614606301e-06,0.027055248375201124,0.1442303394691365,0.0,0.0,0.0005255833066864168,0.0013244500791491523,0.001701688035936147,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00048529900959692895,0.1924090713712982,0.12965436427711974,0.11008276602373433,0.11384190949404664,0.07132957195189636,0.07434270387752445,0.03518153906932214,0.026099008546776374,0.1260985041500392,0.14932350130087624,0.16804390343692774,0.20352930585459506,0.0030278250873002678,0.0028862661715309663,0.14424721106260846,0.1424378029017886
2,True,0.10589168796597481,0.016664760630364588,0.13563399707784488,0.43808017414641665,0.5255229720255565,2.4088686925305394e-06,2.4088686925305394e-06,2.4088686925305394e-06,2.405864088158799e-06,0.7420440478554367,9.438707614606301e-06,0.02632649591623748,0.15243575378717156,0.6273203638823518,0.0,0.0009475753149310941,0.003371486989890838,0.0024321326486113374,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.000490679987706244,0.1923413658516995,0.12986264027500533,0.11076508313086927,0.11430595253165797,0.07191257394428961,0.07462305524971645,0.034995322570244826,0.025908072056635128,0.1262410488655713,0.14920210039093865,0.16834489779780362,0.20329929487608323,0.002941125063207182,0.002814522831371222,0.14419084857208064,0.14251910344842286
3,True,0.10598566320429349,0.01655848904236963,0.1357947212582681,0.4381364471426069,0.5070466383763005,3.26265622969817e-06,3.26265622969817e-06,3.26265622969817e-06,3.2582267476696017e-06,0.7420440478554367,9.438707614606301e-06,0.025615618798622286,0.14738857438298056,0.279677271663485,23.875898562279588,0.0008639093396265857,0.002963676464339273,0.002298065233674299,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004837260057684034,0.1922760507625672,0.13001508521613417,0.11141301008019673,0.11475348928839715,0.07245914692021928,0.07481367724407481,0.0348576418833954,0.02577921996816271,0.12637726920660675,0.14908591569596896,0.16858564737863038,0.20302244964686145,0.00285601404563785,0.0027410802722825575,0.14413548899477135,0.14259942466478895
4,True,0.1060531065238278,0.016471439590297288,0.13591366216833795,0.43800241563828474,0.49684271022048176,4.0400116976872375e-06,4.0400116976872375e-06,4.0400116976872375e-06,4.034824509207521e-06,0.7420440478554367,9.438707614606301e-06,0.024920692952041357,0.1434350102531033,0.2847257136924836,2.5725257625340863,0.0007660462115328549,0.0019922366881340013,0.0022087655588346427,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00048091099597513676,0.19221343680950503,0.13013095443084857,0.11199911351105896,0.11510881794187128,0.07291334090597174,0.07488785367956244,0.03475760265740036,0.02568906105513298,0.12650790955536756,0.1489722140180515,0.16878303714885695,0.20269182952610762,0.002771848235123141,0.0026672464135326646,0.1440788770114389,0.14267656148141492
5,True,0.10608644495335437,0.016403324811742535,0.13598081833389164,0.4377621769933499,0.49212285851208404,4.912766368674063e-06,4.912766368674063e-06,4.912766368674063e-06,4.90735924874629e-06,0.7420440478554367,9.438707614606301e-06,0.024241000712975636,0.140664491178959,0.268753773312856,2.962060859496138,0.0006839456159879324,0.002214714700337976,0.0022037012238289673,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004875839804299176,0.1921524300976656,0.13013733539752048,0.11247712504392081,0.11534652744230663,0.07325261347631948,0.07484568303140682,0.03469001095955801,0.025639315157371226,0.1266362796919131,0.14885688187620708,0.16895145868223,0.20234047335235741,0.0026893474184679295,0.0025946257115729643,0.14402236865639423,0.14275064325845804
6,True,0.106084947682376,0.016360053966293493,0.13599324558773682,0.4374047751667759,0.4897699497154883,5.881399517919127e-06,5.881399517919127e-06,5.881399517919127e-06,5.876298379547941e-06,0.7420440478554367,9.438707614606301e-06,0.023587045765217862,0.14061677283207258,0.24035908781163293,3.6567485408526115,0.0006296362640544862,0.0022659785800850014,0.0022520997123265914,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00047860699123702943,0.19209097077381876,0.13007313385819802,0.11278091784247149,0.11543840641774188,0.07348719112530133,0.07466177267967805,0.03466463918973496,0.02564098983736604,0.12676330633876046,0.14873897669439862,0.16909743000826216,0.20199567531260074,0.002610288262712102,0.0025242985753608695,0.14396860020328225,0.14282256579832822
7,True,0.10606586161458684,0.01632142757617623,0.1359806729607237,0.4370638376824696,0.4879692173071014,6.923636664577139e-06,6.923636664577139e-06,6.923636664577139e-06,6.9187074007309065e-06,0.7420440478554367,9.438707614606301e-06,0.022951230825033916,0.1398103215553524,0.14578886619842807,5.155503727897218,0.0005783379398720356,0.002195061520955374,0.0022798913659516926,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004857199965044856,0.19202606671510344,0.12999024410344237,0.11292138493064205,0.11541785872480928,0.07366041973395134,0.0745424215636363,0.034649545065813483,0.02564622740624322,0.1268884734815823,0.14861925038542365,0.16922820123897417,0.20166462807698307,0.0025345800901139383,0.0024553577425342936,0.14391665295880401,0.1428924736153323
8,True,0.1060212485436983,0.01628279827977973,0.13593406529833782,0.43674388541739195,0.48667734590846823,7.85308157944713e-06,7.85308157944713e-06,7.85308157944713e-06,7.847540057790422e-06,0.7420440478554367,9.438707614606301e-06,0.022324088500913275,0.13860491164952343,0.2083445544018146,3.381508537541898,0.0005426077295482902,0.0021293330296317317,0.002182328816459836,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00047559101949445903,0.1919597169224621,0.1298364117027548,0.11288834490940317,0.1152385872740873,0.07369360345504282,0.07458138085262526,0.03464164894156824,0.02564177011730989,0.12701540956616933,0.14849115932211882,0.16936242476175312,0.20131912722046563,0.002460481935508405,0.002387292124732372,0.14386434576926344,0.14295827182390825
9,True,0.10595546342760928,0.016250455015140965,0.13585713289843201,0.4363704104838624,0.4867595201543265,8.66316099852652e-06,8.66316099852652e-06,8.66316099852652e-06,8.65727189867137e-06,0.7420440478554367,9.438707614606301e-06,0.021703122321619306,0.13730440176516073,0.11615634857142315,3.7762253949443934,0.0005295139288949095,0.0019887021436856885,0.002184591942658713,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.000477755005704239,0.19189743089264888,0.12962068883955347,0.11276337666554188,0.11500209748020172,0.07364300084910966,0.07460737618346026,0.03464529033999082,0.025649778306040295,0.12714642762011466,0.14834740623415762,0.1694968718469342,0.20092940628367484,0.0023874760700536633,0.0023192753444790763,0.1438106830927569,0.1430208287930301
