source_frame_idx,valid,rf_kpe_all_m,rf_kpe_targeted_m,rf_kpe_untracked_m,bone_direction_error_rad,bend_plane_error_rad,root_translation_error_m,root_translation_common_scale_error_m,root_translation_native_scale_error_m,root_translation_scale_invariant_error_m,effective_root_xy_scale,root_scale_bias_fraction,root_yaw_error_rad,joint_velocity_rms_rad_s,joint_acceleration_rms_rad_s2,joint_jerk_rms_rad_s3,pose_jump_rms_m,left_foot_speed_m_s,right_foot_speed_m_s,left_source_stance,right_source_stance,left_foot_skating,right_foot_skating,foot_skating,ground_penetration_depth_m,ground_penetration_artifact,joint_limit_violation_rad,joint_limit_artifact,invalid_artifact,self_contact_count_diagnostic,artifact,artifact_causes,solve_time_s,rf_kpe_torso_m,rf_kpe_head_m,rf_kpe_left_shoulder_m,rf_kpe_right_shoulder_m,rf_kpe_left_elbow_m,rf_kpe_right_elbow_m,rf_kpe_left_wrist_m,rf_kpe_right_wrist_m,rf_kpe_left_hip_m,rf_kpe_right_hip_m,rf_kpe_left_knee_m,rf_kpe_right_knee_m,rf_kpe_left_ankle_m,rf_kpe_right_ankle_m,rf_kpe_left_toe_m,rf_kpe_right_toe_m
0,True,0.10852712794307677,0.02688218041140596,0.13574211045363374,0.4386280741839287,0.6914942315532772,0.0,0.0,0.0,0.0,0.7420463390703533,1.2526444184146612e-05,0.06984183226480889,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.015878292004344985,0.19689907679195626,0.12964702254187033,0.11401832796047252,0.11194004993446043,0.06142585333855449,0.08497544414017487,0.0491129955518903,0.04314276211288536,0.11050607153594652,0.1693508359989158,0.14015981568849867,0.22428148889704166,0.007801245499809418,0.0074717184810387605,0.14466195763058576,0.14103938098512736
1,True,0.10795201711873002,0.022706728529675677,0.13636711331508147,0.4384143672436991,0.7099845130919065,4.990968268822915e-06,4.990968268822915e-06,4.990968268822915e-06,4.9909355675225955e-06,0.7420463390703533,1.2526444184146612e-05,0.053826428583603425,1.595609787210907,0.0,0.0,0.005370304969204609,0.03077531766840734,0.027796704543704937,True,True,True,True,True,0.0,False,0.0,False,False,0,True,left-skating+right-skating,0.005205652996664867,0.19527903027364935,0.130723705973373,0.11546341140874064,0.11313449586332569,0.06547972692934619,0.08267157237158797,0.042715772121600847,0.03633437886101176,0.11328401827127445,0.165657255840876,0.148497812245175,0.2191656953247089,0.006012194916860864,0.005764568219229236,0.14412162427601768,0.14292701100290256
2,True,0.10798074787451535,0.022340624753871656,0.1365274555813966,0.4387008206113633,0.648543659154052,4.096455755146431e-06,4.096455755146431e-06,4.096455755146431e-06,4.095275064927452e-06,0.7420463390703533,1.2526444184146612e-05,0.052377999111422824,0.1504056089498037,43.60354067663155,0.0,0.0010480063177912369,0.00521490516037193,0.004230176688204835,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0005066590092610568,0.19514794132580993,0.13083348705726397,0.11595813459007331,0.1135438512744135,0.06617723410465619,0.08263627086940478,0.04219209077179877,0.035710623533463104,0.1135530763782735,0.16528982041650023,0.14928931664958953,0.21874006342922803,0.005836985086250115,0.005622799623974617,0.14407275622530621,0.14308751465624026
3,True,0.10800386864055322,0.022018198014029107,0.13666575884939458,0.4387653369667407,0.6082713775435602,3.4558438485767704e-06,3.4558438485767704e-06,3.4558438485767704e-06,3.453175517213081e-06,0.7420463390703533,1.2526444184146612e-05,0.050963526214543815,0.14644330480295664,0.2815387547532371,1305.7247252332447,0.0009663836417764082,0.00473550083378014,0.00442899199460629,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004839160246774554,0.19501975131642954,0.13089335611281927,0.11642990499808935,0.11393433033010016,0.06682846990706244,0.0825372873842787,0.04175188154017946,0.035177818148863636,0.11382241055664308,0.16493183749873006,0.1500452722844911,0.21826841430389976,0.005666957340418875,0.005476135026654465,0.14402873129466556,0.14324934020552596
4,True,0.10800774246935664,0.021717310195445268,0.13677121989399377,0.4386494368546988,0.5821273239324183,2.673566669274874e-06,2.673566669274874e-06,2.673566669274874e-06,2.6691293324686854e-06,0.7420463390703533,1.2526444184146612e-05,0.04958067581897164,0.1436101331292955,0.26082357885434115,2.981394610127757,0.0008847673267644797,0.0031061038436700755,0.004610435024524366,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004978429933544248,0.1948947699403896,0.13093131754349815,0.11685870959392881,0.11424158819777537,0.06740591422483465,0.08233929631833878,0.0413555057527246,0.034686027346459765,0.11409311519965931,0.1645808621299061,0.15077835032533696,0.217739822917267,0.0054988027113953486,0.005328904971201362,0.14398413856654438,0.14340675377044604
5,True,0.10798370366387318,0.021437321379096364,0.13683249775879874,0.4384290148959862,0.566654228434472,1.6925038196211787e-06,1.6925038196211787e-06,1.6925038196211787e-06,1.6853108154275038e-06,0.7420463390703533,1.2526444184146612e-05,0.04822245346893106,0.14163548224364522,0.23991929380883906,3.1591782449296937,0.0008150813237928555,0.0036042413236526912,0.004586707177115265,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00049292400944978,0.19477119991793654,0.13087700941417843,0.11720073068303341,0.1144402266505376,0.06788239935820928,0.08204323370863228,0.040997367431084696,0.03423471768718098,0.11436477378778337,0.1642315971566677,0.1514935962467872,0.21718562418679566,0.005333599815665879,0.005183600582453902,0.14393980607904233,0.14355977591598126
6,True,0.10793007952821497,0.021185976433452693,0.1368447805598024,0.4380807507145463,0.5559135101361182,6.445786628167179e-07,6.445786628167179e-07,6.445786628167179e-07,6.300182224277743e-07,0.7420463390703533,1.2526444184146612e-05,0.046908022520515846,0.1419263893278692,0.2194290765096721,3.6435600545735087,0.0007717582187441459,0.0035691917525684826,0.004620246126292773,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00047182300477288663,0.19464697151891716,0.1307715320841848,0.11739260289361342,0.11450136170303174,0.06826500124120854,0.0816229332153984,0.04068984925376592,0.03383718361356279,0.11463427204558216,0.16388169100491376,0.15218164026142267,0.21663111688732553,0.005174742077854646,0.005042130788627413,0.14389968202470346,0.1437085618373268
7,True,0.10786157071545674,0.020945393348455774,0.13683362983779038,0.43773753552646627,0.5472580191039597,7.258979365091597e-07,7.258979365091597e-07,7.258979365091597e-07,7.152749247278395e-07,0.7420463390703533,1.2526444184146612e-05,0.04562295661625271,0.1415803592188431,0.14140184822154644,4.904486635883915,0.000729096019879845,0.0034633558773388548,0.004611431064740969,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004999180091544986,0.1945192884777774,0.13065481752682154,0.11743950522062786,0.11444841683052304,0.06858789572724545,0.08127163214400453,0.04040253414891441,0.03345466173291148,0.11489995429401137,0.16353145795863933,0.15283969558080882,0.2160939688374641,0.0050218067038554455,0.004902570808141757,0.14386201601204285,0.14385490944351842
8,True,0.10726235644336728,0.01873193848499214,0.13677249576282566,0.43576100556795744,0.5354947896739044,2.8800659325957973e-06,2.8800659325957973e-06,2.8800659325957973e-06,2.8799601219151247e-06,0.7420463390703533,1.2526444184146612e-05,0.03531486435535891,1.1475187521265822,30.22004635060574,906.3920962068308,0.0038179927174863165,0.021446991082259444,0.02330520129744969,True,True,True,True,True,0.0,False,0.0,False,False,0,True,left-skating+right-skating,0.004336376005085185,0.19341671960904225,0.1301156148962427,0.11737947785977648,0.11378117496211701,0.07093895217364687,0.07904651547978239,0.03713277559011808,0.030119705933084506,0.11731690186433229,0.16052579802050304,0.15857249293395426,0.21163047374021285,0.0038859334710661963,0.0037893389456997804,0.14357197630650073,0.14497385130779722
9,True,0.10715214217618857,0.018560724681876126,0.13668261467429274,0.4353304040817159,0.5134963432123314,2.363237771656236e-06,2.363237771656236e-06,2.363237771656236e-06,2.362058053007496e-06,0.7420463390703533,1.2526444184146612e-05,0.03418561585883784,0.13102874063936443,30.534767182481552,1822.6209083634521,0.0006670665596927089,0.0026473512750958823,0.00402778781375878,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004887459799647331,0.19331063837466247,0.1298463197251352,0.11716299992773578,0.11346900305774232,0.07104758738870048,0.07879305331901254,0.03698395655930808,0.02983577795783572,0.11756914196684563,0.16018115391608923,0.1591073794916028,0.21108919618269162,0.0037527701079249744,0.0036703941024357387,0.14352891345381238,0.14508598928748204
