source_frame_idx,valid,rf_kpe_all_m,rf_kpe_targeted_m,rf_kpe_untracked_m,bone_direction_error_rad,bend_plane_error_rad,root_translation_error_m,root_translation_common_scale_error_m,root_translation_native_scale_error_m,root_translation_scale_invariant_error_m,effective_root_xy_scale,root_scale_bias_fraction,root_yaw_error_rad,joint_velocity_rms_rad_s,joint_acceleration_rms_rad_s2,joint_jerk_rms_rad_s3,pose_jump_rms_m,left_foot_speed_m_s,right_foot_speed_m_s,left_source_stance,right_source_stance,left_foot_skating,right_foot_skating,foot_skating,ground_penetration_depth_m,ground_penetration_artifact,joint_limit_violation_rad,joint_limit_artifact,invalid_artifact,self_contact_count_diagnostic,artifact,artifact_causes,solve_time_s,rf_kpe_torso_m,rf_kpe_head_m,rf_kpe_left_shoulder_m,rf_kpe_right_shoulder_m,rf_kpe_left_elbow_m,rf_kpe_right_elbow_m,rf_kpe_left_wrist_m,rf_kpe_right_wrist_m,rf_kpe_left_hip_m,rf_kpe_right_hip_m,rf_kpe_left_knee_m,rf_kpe_right_knee_m,rf_kpe_left_ankle_m,rf_kpe_right_ankle_m,rf_kpe_left_toe_m,rf_kpe_right_toe_m
0,True,0.10796085091931358,0.02552196685456303,0.13544047894089709,0.4406718450280661,0.6811552400518779,0.0,0.0,0.0,0.0,0.7420452722952992,1.1088813727688773e-05,0.06511930708762724,0.0,0.0,0.0,0.0,0.0,0.0,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.014561858988599852,0.19651004808190647,0.13116409841804158,0.11617150353202027,0.113173871103556,0.06358179195967507,0.08480656126254955,0.04705902699160354,0.040786382154389844,0.11069625435939011,0.16915444462864912,0.1284830656037822,0.2272696411775434,0.007274558773510107,0.006967899498748639,0.14466417822967018,0.13961028893398097
1,True,0.10725880062118853,0.021735578538819012,0.1357665413153117,0.44022629383904666,0.6442452517704742,5.622657884473443e-06,5.622657884473443e-06,5.622657884473443e-06,5.6228444959287275e-06,0.7420452722952992,1.1088813727688773e-05,0.050171599269815514,1.5107817433792983,0.0,0.0,0.005211797408800479,0.036514087020530134,0.026873475694516487,True,True,True,True,True,0.0,False,0.0,False,False,0,True,left-skating+right-skating,0.0051795839972328395,0.1949269145645067,0.13137055827506702,0.11693933905833712,0.11327714296585012,0.06724994777987389,0.08205363072937683,0.041203019115093324,0.03476109198870383,0.11350325427579926,0.16524832681356239,0.1373799813969321,0.2215862815792676,0.0056044675007064435,0.005373735550772464,0.14424829226070138,0.1414148260844664
2,True,0.10728021119847224,0.021401428056566838,0.13590647224577404,0.4404315330924564,0.5957019260475012,4.567861379423586e-06,4.567861379423586e-06,4.567861379423586e-06,4.567857685788379e-06,0.7420452722952992,1.1088813727688773e-05,0.04880783972143443,0.14477155891021046,41.20604231046332,0.0,0.0010373540242002602,0.00558813423307234,0.004172816432971482,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00049359499826096,0.194800112346932,0.131419468315818,0.11739609301754605,0.11361956027021078,0.06789426010370865,0.08198322347535925,0.04072824897928726,0.03419778938370514,0.11377501667944424,0.16486814269349567,0.13824182995669074,0.22110539485939784,0.005439247236983633,0.00524042662629132,0.14419883323920027,0.14157573199148507
3,True,0.10730000574157711,0.021108586092695367,0.13603047895787101,0.4404520419967139,0.5629211710588486,3.841874982430572e-06,3.841874982430572e-06,3.841874982430572e-06,3.841679981027e-06,0.7420452722952992,1.1088813727688773e-05,0.04747274342078156,0.1411264762021693,0.25555179195066474,1233.9337711123355,0.0009635264098182809,0.005171064536920914,0.004287214342181174,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00048682300257496536,0.19467589112056777,0.13143534806671647,0.11784600060814895,0.11396280514071654,0.0685210941847359,0.08186644858192664,0.04033123587459359,0.03372221800771237,0.11404587281036266,0.1644971576573735,0.139045982957402,0.22057738744491134,0.005278976145151741,0.005101914343323751,0.14415335156550854,0.141738407356082
4,True,0.10730201370160908,0.020836593049386502,0.1361238205856833,0.44031119324316365,0.5404893977834886,3.0280143358590135e-06,3.0280143358590135e-06,3.0280143358590135e-06,3.028107105758688e-06,0.7420452722952992,1.1088813727688773e-05,0.04616545802653782,0.1387149478392823,0.24855872941940746,2.6277428442573316,0.0008861032040733638,0.003750329488406171,0.004288906810603061,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004843579954467714,0.1945546797814962,0.13143749193170773,0.11826045571217488,0.11423118730867932,0.06908550955415205,0.08166053473276277,0.039976520182896325,0.03328691391658974,0.11431668626872817,0.16413278278463656,0.13980849512249713,0.2199948540011426,0.005120249691744246,0.004962688406315685,0.1441064017957205,0.14189676803450144
5,True,0.1072764506913708,0.02058499477376992,0.13617360266390444,0.4400752284800422,0.5269838938462006,2.0474105351912324e-06,2.0474105351912324e-06,2.0474105351912324e-06,2.0492213470815136e-06,0.7420452722952992,1.1088813727688773e-05,0.044880230778442394,0.1372717035898541,0.23400546989361623,2.9674572063347373,0.0008192591605052055,0.004164308677949569,0.004307003648963953,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004944769898429513,0.19443476804528115,0.13134901608026237,0.11858954918649607,0.11439531499407256,0.06955211364788055,0.08136364323589915,0.03965839265358415,0.03289226396291401,0.1145878792582584,0.16376993692757427,0.14054064157577462,0.21939040051088976,0.004964197497771409,0.004825124980810104,0.14405911057952775,0.14205085792493635
6,True,0.10722122073216886,0.020361536020822694,0.13617444896928424,0.43971803036445933,0.5173081565906059,1.1074709952046198e-06,1.1074709952046198e-06,1.1074709952046198e-06,1.1163152308612019e-06,0.7420452722952992,1.1088813727688773e-05,0.0436363376279476,0.13797234771905423,0.21481636795903306,3.6754217909336897,0.0007800424067991296,0.0041609972903130735,0.004337930516193966,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.00047987999278120697,0.19431410164216908,0.1312087414774151,0.11876410509766079,0.11442320013812762,0.06992308413733908,0.0809457264311346,0.03938913774768585,0.032551737607264486,0.1148573352232741,0.1634066480106763,0.1412430438138242,0.2187910854281724,0.00481408827909197,0.004691180449248474,0.14401552668552048,0.14220078954609716
7,True,0.1071508901233918,0.02014824820395325,0.13615177076320462,0.43936507913837275,0.5094034858751733,7.06806431589137e-07,7.06806431589137e-07,7.06806431589137e-07,7.273340741924291e-07,0.7420452722952992,1.1088813727688773e-05,0.04242026051662551,0.13757253613706172,0.13847461925735466,4.824285678869578,0.0007404070339254365,0.004064399530442592,0.004335995674261259,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004916820034850389,0.19418987931246393,0.13105728796099028,0.11878767517387134,0.11433881676718369,0.07023273382737508,0.08059768821312219,0.03913948594881654,0.03222488795660999,0.11512351962310154,0.16304336838609534,0.14191972783306497,0.2182082616491631,0.004669564721302859,0.004559054189083624,0.14397432926511858,0.1423479611469055
8,True,0.10705830000958118,0.01994223592387031,0.13609698803815146,0.43902892710414876,0.5029361682063659,8.636546800980376e-07,8.636546800980376e-07,8.636546800980376e-07,8.798660426258398e-07,0.7420452722952992,1.1088813727688773e-05,0.041226450323222925,0.13657095845042197,0.20737515952359759,3.3439547577263014,0.0007121038980129527,0.0039428443295072635,0.004195638982047884,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004855800070799887,0.1940636576352887,0.1308431080607097,0.11865105106975829,0.11409141663586092,0.07040683998189029,0.0804115466021904,0.03890963125296016,0.03190163997069793,0.11538940448792778,0.16267456428591978,0.14258920689648522,0.21762044929027602,0.00452874513796135,0.0044289273338617985,0.14393319240437535,0.14248941910713514
9,True,0.10694681606316808,0.019746383784546757,0.13601362682270854,0.4386336264001468,0.49900657862763675,1.3348781542519424e-06,1.3348781542519424e-06,1.3348781542519424e-06,1.3468134758113566e-06,0.7420452722952992,1.1088813727688773e-05,0.04004871125108855,0.13569878240172428,0.1075515722549477,3.708345430894092,0.0006978417524993244,0.0037653757172471953,0.004138535797384057,True,True,False,False,False,0.0,False,0.0,False,False,0,False,none,0.0004894080047961324,0.1939413044471547,0.1305727444149533,0.11843239731556023,0.11378704992811078,0.07050129570450599,0.08021878009791415,0.03869848855565369,0.03159721460224366,0.1156556620648972,0.16229190707316574,0.14324897357472777,0.21699666978569396,0.004390284871883895,0.0042995471084057825,0.1438904210245252,0.14262631644129314
