pair,frame,joint_angle_rms_rad,robot_rf_point_rms_m
sparse-neutral__sparse-a,0,0.12379228732730288,0.035684284297033846
sparse-neutral__sparse-a,1,0.123227281273438,0.035118874755174584
sparse-neutral__sparse-a,2,0.12349196430255312,0.03564186110358036
sparse-neutral__sparse-a,3,0.12330868074640473,0.035024731207819966
sparse-neutral__sparse-a,4,0.12219753737065864,0.0304373975887713
sparse-neutral__sparse-a,5,0.12210138208519851,0.02341733260293048
sparse-neutral__sparse-a,6,0.12306855879517506,0.01958676120040125
sparse-neutral__sparse-a,7,0.123331796772514,0.018500056990218824
sparse-neutral__sparse-a,8,0.12090166555725645,0.016911009765698547
sparse-neutral__sparse-a,9,0.11502248459817326,0.013863882217992599
sparse-neutral__sparse-a,10,0.10729023898711638,0.010652789528866748
sparse-neutral__sparse-a,11,0.10008855778441542,0.008800387485891344
sparse-neutral__sparse-a,12,0.09488701621149813,0.007846698915651248
sparse-neutral__sparse-a,13,0.09133460534129759,0.007335224151823781
sparse-neutral__sparse-a,14,0.08884568429239217,0.0070490261284967175
sparse-neutral__sparse-a,15,0.08702321330626406,0.0068786250274649584
sparse-neutral__sparse-a,16,0.08562957567728757,0.006768343060834235
sparse-neutral__sparse-a,17,0.08452602233905478,0.00669089805993363
sparse-neutral__sparse-a,18,0.08362812320661557,0.006633148572947831
sparse-neutral__sparse-a,19,0.08287896318716698,0.006587213261799014
sparse-neutral__sparse-a,20,0.08224218002185373,0.0065489939443433304
sparse-neutral__sparse-a,21,0.08168787666268841,0.00651531971619374
sparse-neutral__sparse-a,22,0.0741355897045592,0.006099060019409265
sparse-neutral__sparse-a,23,0.0757949256031043,0.005934331744324134
sparse-neutral__sparse-a,24,0.0729987146474431,0.005841515784966305
sparse-neutral__sparse-a,25,0.06941935364047276,0.0058459695782114105
sparse-neutral__sparse-a,26,0.0713469092705144,0.00586518878493099
sparse-neutral__sparse-a,27,0.07100237784418068,0.005837892979924862
sparse-neutral__sparse-a,28,0.07066307162665518,0.005810262941786075
sparse-neutral__sparse-a,29,0.07032808713886379,0.005781826722541634
sparse-neutral__sparse-a,30,0.06999696211568789,0.005752345349452289
sparse-neutral__sparse-a,31,0.06966969247156382,0.005722312034872593
sparse-neutral__sparse-a,32,0.0699750132178983,0.005711805051069759
sparse-neutral__sparse-a,33,0.07032247459870206,0.005702343984658039
sparse-neutral__sparse-a,34,0.07015528089592463,0.005688460248924453
sparse-neutral__sparse-a,35,0.06999317626640265,0.005675567448247224
sparse-neutral__sparse-a,36,0.06983554753459148,0.005663509412567872
sparse-neutral__sparse-a,37,0.06968120490597256,0.005651801932714417
sparse-neutral__sparse-a,38,0.06952962644453436,0.005640529610629032
sparse-neutral__sparse-a,39,0.06937835389581516,0.00562952543441605
sparse-neutral__sparse-a,40,0.0692263869118443,0.005618241533857417
sparse-neutral__sparse-a,41,0.06907299055243787,0.005606257159646266
sparse-neutral__sparse-a,42,0.06891834231433017,0.005593581840614922
sparse-neutral__sparse-a,43,0.06876359400684191,0.00558062228980752
sparse-neutral__sparse-a,44,0.06861128070031196,0.005568059051064775
sparse-neutral__sparse-a,45,0.0684610552455408,0.005556136458295882
sparse-neutral__sparse-a,46,0.06831430471126522,0.005545018305172607
sparse-neutral__sparse-a,47,0.06817198404757585,0.005534838168098473
sparse-neutral__sparse-a,48,0.06803374295320573,0.0055254669424897405
sparse-neutral__sparse-a,49,0.06789866535657146,0.005516571007249363
sparse-neutral__sparse-a,50,0.06776778017221344,0.00550827461676638
sparse-neutral__sparse-a,51,0.06763772522048145,0.005499566280651754
sparse-neutral__sparse-a,52,0.06750628679557065,0.005489894478992322
sparse-neutral__sparse-a,53,0.06737310315502973,0.005479203802041224
sparse-neutral__sparse-a,54,0.06724048977573738,0.005468158720944989
sparse-neutral__sparse-a,55,0.06710839302356103,0.0054568733638647535
sparse-neutral__sparse-a,56,0.06697646209226102,0.005445428729060172
sparse-neutral__sparse-a,57,0.06673721300460762,0.005434041399731477
sparse-neutral__sparse-a,58,0.0663815784371647,0.005423002345301133
sparse-neutral__sparse-a,59,0.06605627703985074,0.005412774152509739
