method,sequence_index,role,wall_time_s,native_total_s,frame_count,end_to_end_rtf,native_core_rtf
sparse-neutral,0,cold,0.8064040819881484,0.49822260887594894,600,0.040320607305480476,0.02491137955759302
sparse-neutral,1,warmup,0.8243727209919598,0.5154650806216523,600,0.04121904824008039,0.025773511766200276
sparse-neutral,2,measured,0.7628842539852485,0.5143872479093261,600,0.038144594145203874,0.025719619591662222
sparse-neutral,3,measured,0.7471495879872236,0.5152562612202018,600,0.03735785297789096,0.02576307069171701
sparse-neutral,4,measured,0.7213678630068898,0.5149694719875697,600,0.03606875383788287,0.02574873108668935
sparse-a,0,cold,0.8292296280269511,0.5017799637571443,600,0.04146189602030776,0.025089249080348017
sparse-a,1,warmup,0.8412774379830807,0.5133922802924644,600,0.042064292542079454,0.025669870713330354
sparse-a,2,measured,0.7590767860237975,0.5034732591011561,600,0.03795421884337831,0.025173914694204748
sparse-a,3,measured,0.7156089149939362,0.5059733542439062,600,0.03578080355773239,0.025298920701402324
sparse-a,4,measured,0.704961864015786,0.5036746583064087,600,0.03524844568524615,0.025183984755167983
sparse-b,0,cold,0.8442939649976324,0.5266863109718543,600,0.04221512040108563,0.026334578894381656
sparse-b,1,warmup,0.8362584399874322,0.5275615408609156,600,0.041813340132772936,0.02637834082645404
sparse-b,2,measured,0.7513569619914051,0.5242869562644046,600,0.037568223781808074,0.02621460995931982
sparse-b,3,measured,0.7278084380086511,0.5286052759038284,600,0.03639078580829064,0.026430528100472427
sparse-b,4,measured,0.7102087559760548,0.5255683068535291,600,0.03551079290673181,0.026278678129457746
dense,0,cold,1.5094434549973812,1.1699340729392134,600,0.07547292747914384,0.05849728861984686
dense,1,warmup,1.4713596920191776,1.1301985528843943,600,0.07356872028816176,0.056510492749147205
dense,2,measured,1.4023129720008,1.1322203498566523,600,0.07011634976353764,0.0566115836086687
dense,3,measured,1.427766848995816,1.1787482558574993,600,0.0713890563403542,0.05893800217289669
dense,4,measured,1.3547470699995756,1.1357031951774843,600,0.06773803088028758,0.056785727616150375
gmr,0,cold,3.772193384997081,2.358595033088932,600,0.1886115553654077,0.11793093096375623
gmr,1,warmup,3.806690315977903,2.3899452692712657,600,0.19033641916308677,0.11949845844814777
gmr,2,measured,2.766358662978746,2.3831039450888056,600,0.1383193163421007,0.11915638881832846
gmr,3,measured,2.7973234959936235,2.4246384824509732,600,0.13986757347541592,0.1212331364539132
gmr,4,measured,2.765351590991486,2.379176147893304,600,0.13826896223919669,0.11895999699463515
omniretarget,0,cold,191.8718378719932,185.58743888602476,600,9.593687830477965,9.279464738948628
omniretarget,1,warmup,194.01777351700002,187.72930743946927,600,9.700985685706858,9.386559237565839
omniretarget,2,measured,192.10679220600286,187.3708971212327,600,9.60543566465679,9.368638542447059
omniretarget,3,measured,190.9957717669895,186.30422060229466,600,9.549884087190346,9.315304183156565
omniretarget,4,measured,193.95226419900428,189.30531377534498,600,9.697710187052085,9.465360342370673
